ID2,TreatmentId,StartYear,EndYear
278,A6,1999,2015
279,B1,1999,2015
280,B1,1999,2015
281,B3,1999,2015
282,B3,1999,2015
283,B4,1999,2015
284,B5,1999,2015
285,B5,1999,2015
286,B6,1999,2015
287,C1,1999,2015
288,C2,1999,2015
289,C2,1999,2015
290,C3,1999,2015
291,C4,1999,2015
292,C4,1999,2015
293,C5,1999,2015
297,A1,1999,2015
298,A1,1999,2015
299,A2,1999,2015
300,A3,1999,2015
301,A4,1999,2015
302,A5,1999,2015
303,A6,1999,2015
304,A6,1999,2015
305,B1,1999,2015
306,B2,1999,2015
307,B3,1999,2015
308,B3,1999,2015
309,B5,1999,2015
310,B5,1999,2015
311,B6,1999,2015
312,B6,1999,2015
313,C1,1999,2015
314,C2,1999,2015
315,C2,1999,2015
316,C3,1999,2015
323,A1,1999,2015
324,A2,1999,2015
325,A2,1999,2015
326,A3,1999,2015
327,A4,1999,2015
328,A5,1999,2015
329,A6,1999,2015
330,A6,1999,2015
331,B1,1999,2015
332,B2,1999,2015
333,B3,1999,2015
334,B4,1999,2015
335,B4,1999,2015
336,B5,1999,2015
337,B6,1999,2015
338,C1,1999,2015
348,A1,1999,2015
349,A2,1999,2015
350,A3,1999,2015
351,A4,1999,2015
352,A5,1999,2015
353,A5,1999,2015
354,A6,1999,2015
355,B1,1999,2015
356,B2,1999,2015
357,B2,1999,2015
358,B4,1999,2015
359,B4,1999,2015
360,B5,1999,2015
371,A1,1999,2015
372,A2,1999,2015
373,A3,1999,2015
374,A4,1999,2015
375,A5,1999,2015
376,A5,1999,2015
377,B1,1999,2015
378,B1,1999,2015
379,B2,1999,2015
380,B3,1999,2015
381,B3,1999,2015
394,A2,1999,2015
395,A2,1999,2015
396,A3,1999,2015
397,A4,1999,2015
398,A4,1999,2015
399,A6,1999,2015
400,A6,1999,2015
401,B1,1999,2015
402,B2,1999,2015
419,A2,1999,2015
420,A3,1999,2015
421,A4,1999,2015
422,A5,1999,2015
423,A6,1999,2015
424,A6,1999,2015
425,B1,1999,2015
